time,month,sst
1870-01-16 11:59:59.505615234,1,0.42611852
1870-02-14 23:59:59.340820312,2,0.2121219
1870-03-16 11:59:59.340820312,3,0.1901361
1870-04-15 23:59:59.340820312,4,-0.12055099
1870-05-16 12:00:00.000000000,5,0.113756895
1870-06-16 00:00:00.000000000,6,0.4236731
1870-07-16 12:00:00.000000000,7,0.45127708
1870-08-16 12:00:00.000000000,8,0.4361279
1870-09-16 00:00:00.000000000,9,0.026216775
1870-10-16 12:00:00.000000000,10,0.069457024
1870-11-16 00:00:00.000000000,11,0.193658
1870-12-16 12:00:00.000000000,12,-0.08511531
1871-01-16 12:00:00.000000000,1,0.0558829
1871-02-15 00:00:00.000000000,2,0.10641989
1871-03-16 12:00:00.000000000,3,0.1574238
1871-04-16 00:00:00.000000000,4,0.350246
1871-05-16 12:00:00.000000000,5,0.43123242
1871-06-16 00:00:00.000000000,6,0.62455773
1871-07-16 12:00:00.000000000,7,0.56838393
1871-08-16 12:00:00.000000000,8,0.3073869
1871-09-16 00:00:00.000000000,9,0.39391005
1871-10-16 12:00:00.000000000,10,0.21490115
1871-11-16 00:00:00.000000000,11,0.4579397
1871-12-16 12:00:00.000000000,12,0.40328693
1872-01-16 12:00:00.000000000,1,0.70143795
1872-02-15 12:00:00.000000000,2,0.42320716
1872-03-16 12:00:00.000000000,3,0.20343202
1872-04-16 00:00:00.000000000,4,0.24229142
1872-05-16 12:00:00.000000000,5,0.31839865
1872-06-16 00:00:00.000000000,6,0.51477104
1872-07-16 12:00:00.000000000,7,0.5217388
1872-08-16 12:00:00.000000000,8,0.49535728
1872-09-16 00:00:00.000000000,9,0.49568582
1872-10-16 12:00:00.000000000,10,0.35588408
1872-11-16 00:00:00.000000000,11,0.45973355
1872-12-16 12:00:00.000000000,12,0.43479076
1873-01-16 12:00:00.000000000,1,0.54025537
1873-02-15 00:00:00.000000000,2,0.70441794
1873-03-16 12:00:00.000000000,3,0.82081604
1873-04-16 00:00:00.000000000,4,0.99933803
1873-05-16 12:00:00.000000000,5,0.648803
1873-06-16 00:00:00.000000000,6,0.62603426
1873-07-16 12:00:00.000000000,7,0.84030426
1873-08-16 12:00:00.000000000,8,0.7552602
1873-09-16 00:00:00.000000000,9,0.9009217
1873-10-16 12:00:00.000000000,10,0.6051928
1873-11-16 00:00:00.000000000,11,0.5508816
1873-12-16 12:00:00.000000000,12,-0.046212703
1874-01-16 12:00:00.000000000,1,-0.0464361
1874-02-15 00:00:00.000000000,2,-0.22596896
1874-03-16 12:00:00.000000000,3,-0.4571941
1874-04-16 00:00:00.000000000,4,-0.6082342
1874-05-16 12:00:00.000000000,5,-0.7308258
1874-06-16 00:00:00.000000000,6,-0.40940323
1874-07-16 12:00:00.000000000,7,-0.1366966
1874-08-16 12:00:00.000000000,8,-0.17100954
1874-09-16 00:00:00.000000000,9,0.13300735
1874-10-16 12:00:00.000000000,10,-0.043996394
1874-11-16 00:00:00.000000000,11,0.04313886
1874-12-16 12:00:00.000000000,12,0.20263684
1875-01-16 12:00:00.000000000,1,0.36944053
1875-02-15 00:00:00.000000000,2,1.0369605
1875-03-16 12:00:00.000000000,3,0.82584333
1875-04-16 00:00:00.000000000,4,0.6359589
1875-05-16 12:00:00.000000000,5,0.6904737
1875-06-16 00:00:00.000000000,6,0.6506444
1875-07-16 12:00:00.000000000,7,0.3689089
1875-08-16 12:00:00.000000000,8,0.5651281
1875-09-16 00:00:00.000000000,9,0.44322702
1875-10-16 12:00:00.000000000,10,0.5386312
1875-11-16 00:00:00.000000000,11,0.9566122
1875-12-16 12:00:00.000000000,12,0.64075315
1876-01-16 12:00:00.000000000,1,0.682437
1876-02-15 12:00:00.000000000,2,0.41368887
1876-03-16 12:00:00.000000000,3,0.49720925
1876-04-16 00:00:00.000000000,4,0.31626445
1876-05-16 12:00:00.000000000,5,0.19907463
1876-06-16 00:00:00.000000000,6,0.2539773
1876-07-16 12:00:00.000000000,7,0.034276813
1876-08-16 12:00:00.000000000,8,0.11328983
1876-09-16 00:00:00.000000000,9,-0.22216925
1876-10-16 12:00:00.000000000,10,-0.5876169
1876-11-16 00:00:00.000000000,11,-0.82317156
1876-12-16 12:00:00.000000000,12,-0.94496024
1877-01-16 12:00:00.000000000,1,-0.6141016
1877-02-15 00:00:00.000000000,2,-0.5196254
1877-03-16 12:00:00.000000000,3,-0.3168653
1877-04-16 00:00:00.000000000,4,-0.33977687
1877-05-16 12:00:00.000000000,5,-0.24364191
1877-06-16 00:00:00.000000000,6,0.37675536
1877-07-16 12:00:00.000000000,7,0.2490289
1877-08-16 12:00:00.000000000,8,0.32965496
1877-09-16 00:00:00.000000000,9,0.65585834
1877-10-16 12:00:00.000000000,10,0.7086911
1877-11-16 00:00:00.000000000,11,0.52218485
