time,month,Cindex,Eindex
1870-01-16 11:59:59.505615234,1,1.0228441,-2.2350783
1870-02-14 23:59:59.340820312,2,-0.9374611,-0.6896784
1870-03-16 11:59:59.340820312,3,-0.71992266,-0.15430057
1870-04-15 23:59:59.340820312,4,-1.2015636,0.23761019
1870-05-16 12:00:00.000000000,5,-0.88719916,-0.5252121
1870-06-16 00:00:00.000000000,6,-0.93811977,-0.5752369
1870-07-16 12:00:00.000000000,7,-0.6533212,-0.70220935
1870-08-16 12:00:00.000000000,8,-0.38482675,-0.77213633
1870-09-16 00:00:00.000000000,9,0.877992,-1.4360868
1870-10-16 12:00:00.000000000,10,0.94002646,-2.1591291
1870-11-16 00:00:00.000000000,11,0.7071024,-1.7361482
1870-12-16 12:00:00.000000000,12,0.09301696,-1.1887524
1871-01-16 12:00:00.000000000,1,0.11928652,-0.28293592
1871-02-15 00:00:00.000000000,2,-0.032633714,-0.38909096
1871-03-16 12:00:00.000000000,3,0.006321437,-0.36813006
1871-04-16 00:00:00.000000000,4,0.51055396,-0.7765438
1871-05-16 12:00:00.000000000,5,-0.057099435,-0.612165
1871-06-16 00:00:00.000000000,6,-0.068830915,-0.26208016
1871-07-16 12:00:00.000000000,7,-0.18471055,-0.10818356
1871-08-16 12:00:00.000000000,8,0.28054452,-0.2191122
1871-09-16 00:00:00.000000000,9,0.33644557,-0.31119403
1871-10-16 12:00:00.000000000,10,0.29775,-0.391752
1871-11-16 00:00:00.000000000,11,0.38688356,-0.481938
1871-12-16 12:00:00.000000000,12,0.106584616,-0.826731
1872-01-16 12:00:00.000000000,1,0.10557229,-1.1076915
1872-02-15 12:00:00.000000000,2,0.19078888,-1.1045201
1872-03-16 12:00:00.000000000,3,0.3452114,-1.0020177
1872-04-16 00:00:00.000000000,4,-0.5722307,-0.57795185
1872-05-16 12:00:00.000000000,5,-0.3753412,-0.52533436
1872-06-16 00:00:00.000000000,6,-0.3797166,-0.37542176
1872-07-16 12:00:00.000000000,7,-0.056089953,-0.27421936
1872-08-16 12:00:00.000000000,8,-0.5811448,-0.6275321
1872-09-16 00:00:00.000000000,9,-0.7485426,-0.6093739
1872-10-16 12:00:00.000000000,10,-0.64293426,-0.84656066
1872-11-16 00:00:00.000000000,11,-0.47899124,-0.7074307
1872-12-16 12:00:00.000000000,12,-0.79597193,-0.69664043
1873-01-16 12:00:00.000000000,1,-0.44529894,-0.92874813
1873-02-15 00:00:00.000000000,2,-0.75530434,-1.066707
1873-03-16 12:00:00.000000000,3,-0.8040792,-1.5110712
1873-04-16 00:00:00.000000000,4,-0.22717308,-0.7762723
1873-05-16 12:00:00.000000000,5,0.18648581,-0.9333917
1873-06-16 00:00:00.000000000,6,-0.65184367,-0.06540087
1873-07-16 12:00:00.000000000,7,-0.42710018,-0.22193709
1873-08-16 12:00:00.000000000,8,-0.07312083,-0.37044358
1873-09-16 00:00:00.000000000,9,-0.014673847,-0.6532255
1873-10-16 12:00:00.000000000,10,-0.5814524,-0.91470623
1873-11-16 00:00:00.000000000,11,-0.5772434,-0.91996336
1873-12-16 12:00:00.000000000,12,-0.32637614,-1.0372965
1874-01-16 12:00:00.000000000,1,-0.078845456,-1.5136988
1874-02-15 00:00:00.000000000,2,-0.38142014,-1.5080547
1874-03-16 12:00:00.000000000,3,-0.95192695,-1.1478213
1874-04-16 00:00:00.000000000,4,-0.42014003,-1.0658909
1874-05-16 12:00:00.000000000,5,-0.7289628,-0.22052956
1874-06-16 00:00:00.000000000,6,-0.37136436,-0.6552573
1874-07-16 12:00:00.000000000,7,-0.35659108,-1.0164229
1874-08-16 12:00:00.000000000,8,-0.6458792,-1.0567182
1874-09-16 00:00:00.000000000,9,-1.1408963,-0.5321701
1874-10-16 12:00:00.000000000,10,-1.4546083,-0.3989949
1874-11-16 00:00:00.000000000,11,-1.4174218,-0.36055467
1874-12-16 12:00:00.000000000,12,-0.9444331,-0.62151116
1875-01-16 12:00:00.000000000,1,-0.12944472,-0.6251807
1875-02-15 00:00:00.000000000,2,0.07944235,-0.39494437
1875-03-16 12:00:00.000000000,3,-0.058627278,-0.553054
1875-04-16 00:00:00.000000000,4,-0.8827445,-0.19240643
1875-05-16 12:00:00.000000000,5,-0.83056784,-0.82911646
1875-06-16 00:00:00.000000000,6,-1.0482622,-0.20121887
1875-07-16 12:00:00.000000000,7,-1.3352631,-0.37901077
1875-08-16 12:00:00.000000000,8,-1.1441618,-0.33948267
1875-09-16 00:00:00.000000000,9,-0.9210376,-0.5562128
1875-10-16 12:00:00.000000000,10,-0.29619214,-1.0138233
1875-11-16 00:00:00.000000000,11,0.5424747,-1.4956822
1875-12-16 12:00:00.000000000,12,-0.25871068,-1.1863986
1876-01-16 12:00:00.000000000,1,-0.2015053,-1.550867
1876-02-15 12:00:00.000000000,2,-0.32807037,-1.7062238
1876-03-16 12:00:00.000000000,3,0.061212312,-1.7421305
1876-04-16 00:00:00.000000000,4,-0.72452724,-1.2515925
1876-05-16 12:00:00.000000000,5,-0.7867576,-0.95430446
1876-06-16 00:00:00.000000000,6,-0.3133371,-0.4284409
1876-07-16 12:00:00.000000000,7,-0.40928787,-0.04017187
1876-08-16 12:00:00.000000000,8,-0.12739252,0.000978202
1876-09-16 00:00:00.000000000,9,-0.27735224,0.5247849
1876-10-16 12:00:00.000000000,10,-0.21752933,1.0203465
1876-11-16 00:00:00.000000000,11,-0.1345148,1.0361121
1876-12-16 12:00:00.000000000,12,0.3539635,0.6723942
1877-01-16 12:00:00.000000000,1,0.5699605,0.33671468
1877-02-15 00:00:00.000000000,2,1.4836347,-0.08115549
1877-03-16 12:00:00.000000000,3,0.90244573,0.35211858
1877-04-16 00:00:00.000000000,4,0.7876233,0.25733933
1877-05-16 12:00:00.000000000,5,1.1451938,0.27417776
1877-06-16 00:00:00.000000000,6,1.6833259,-0.16301541
1877-07-16 12:00:00.000000000,7,1.544356,1.3306711
1877-08-16 12:00:00.000000000,8,1.3146172,1.7722143
1877-09-16 00:00:00.000000000,9,1.573286,2.3481882
1877-10-16 12:00:00.000000000,10,1.9773114,2.3348906
1877-11-16 00:00:00.000000000,11,1.8700112,2.5222442
1877-12-16 12:00:00.000000000,12,2.1412358,2.7160873
1878-01-16 12:00:00.000000000,1,2.1469781,2.6247401
1878-02-15 00:00:00.000000000,2,2.2623,2.5075688
1878-03-16 12:00:00.000000000,3,1.7577907,1.0840311
1878-04-16 00:00:00.000000000,4,1.5231661,0.7053407
1878-05-16 12:00:00.000000000,5,1.5803264,0.40124223
1878-06-16 00:00:00.000000000,6,2.268399,-0.08728469
1878-07-16 12:00:00.000000000,7,1.3286649,0.027616428
1878-08-16 12:00:00.000000000,8,0.7383436,-0.12760012
1878-09-16 00:00:00.000000000,9,0.34955394,-0.30427405
1878-10-16 12:00:00.000000000,10,0.22528502,-0.39917967
1878-11-16 00:00:00.000000000,11,0.46519864,-1.0240968
1878-12-16 12:00:00.000000000,12,0.48274383,-0.86419874
1879-01-16 12:00:00.000000000,1,0.8071766,-0.8764855
1879-02-15 00:00:00.000000000,2,0.46177235,-0.34981945
1879-03-16 12:00:00.000000000,3,0.4988908,-0.4598847
1879-04-16 00:00:00.000000000,4,0.10164037,-0.4048067
1879-05-16 12:00:00.000000000,5,-0.15004824,-0.7574118
1879-06-16 00:00:00.000000000,6,-0.7385492,0.026216099
1879-07-16 12:00:00.000000000,7,-0.845909,0.16446158
1879-08-16 12:00:00.000000000,8,-0.83219916,0.2422011
1879-09-16 00:00:00.000000000,9,-0.3858737,-0.21006863
1879-10-16 12:00:00.000000000,10,-0.77913636,-0.09424904
1879-11-16 00:00:00.000000000,11,-0.7331325,-0.5111982
1879-12-16 12:00:00.000000000,12,-0.48625785,-0.4925868
1880-01-16 12:00:00.000000000,1,-0.021903338,-1.0611908
1880-02-15 12:00:00.000000000,2,-0.1628496,-0.40076044
1880-03-16 12:00:00.000000000,3,-0.15206446,-0.44631216
1880-04-16 00:00:00.000000000,4,-0.11045622,-0.35762492
1880-05-16 12:00:00.000000000,5,-0.3260695,-0.2636375
1880-06-16 00:00:00.000000000,6,-0.55719453,-0.15427639
1880-07-16 12:00:00.000000000,7,-0.6374596,0.350401
1880-08-16 12:00:00.000000000,8,-0.7539045,0.8981742
1880-09-16 00:00:00.000000000,9,-0.6446975,1.2949377
1880-10-16 12:00:00.000000000,10,0.034160737,1.0128733
1880-11-16 00:00:00.000000000,11,0.46518728,0.83498436
1880-12-16 12:00:00.000000000,12,1.0745746,-0.10064461
1881-01-16 12:00:00.000000000,1,0.878558,0.03981478
1881-02-15 00:00:00.000000000,2,0.7492494,-0.15409067
1881-03-16 12:00:00.000000000,3,1.2801632,-0.39964452
1881-04-16 00:00:00.000000000,4,1.5422149,-0.5009442
1881-05-16 12:00:00.000000000,5,1.4501837,-0.51783943
1881-06-16 00:00:00.000000000,6,0.9846313,-0.16512929
1881-07-16 12:00:00.000000000,7,0.35218704,-0.09612654
1881-08-16 12:00:00.000000000,8,0.5903619,-0.43331754
1881-09-16 00:00:00.000000000,9,0.19613744,-0.28003126
1881-10-16 12:00:00.000000000,10,-0.065323144,-0.08917013
1881-11-16 00:00:00.000000000,11,-0.11424761,-0.28153083
1881-12-16 12:00:00.000000000,12,0.15641981,-0.457563
1882-01-16 12:00:00.000000000,1,0.20945258,-0.7384403
1882-02-15 00:00:00.000000000,2,0.07800155,-0.8148876
1882-03-16 12:00:00.000000000,3,0.22062601,-0.8251456
1882-04-16 00:00:00.000000000,4,0.66132534,-0.28999826
1882-05-16 12:00:00.000000000,5,0.735231,-0.406702
1882-06-16 00:00:00.000000000,6,0.7542374,-1.2010953
1882-07-16 12:00:00.000000000,7,0.5346885,-1.26504
1882-08-16 12:00:00.000000000,8,0.9509943,-1.344527
1882-09-16 00:00:00.000000000,9,0.0022773524,-0.32516855
1882-10-16 12:00:00.000000000,10,0.064830266,-0.4661016
1882-11-16 00:00:00.000000000,11,-0.19664559,-0.8123397
1882-12-16 12:00:00.000000000,12,0.04594209,-0.94372517
1883-01-16 12:00:00.000000000,1,0.7962071,-1.2822539
1883-02-15 00:00:00.000000000,2,0.83671695,-1.2341567
