conflict_id,year,latitude,longitude,coder
11342,2012,25.411672,90.045303,Tyler
11342,2014,25.649879,90.260223,Tyler
11343,1967,30.811995,33.5088,Tyler
11343,1969,30.811995,33.5088,Tyler
11343,1973,30.811995,33.5088,Tyler
11344,2011,7.3333,31.416,Tyler
11345,2011,10.57906,32.1574,Tyler
11346,2011,31.208924,16.588661,Tyler
11346,2013,32.117664,20.129275,Tyler
11346,2017,27.550088,14.26904,Tyler
11346,2019,25.904444,13.897222,Tyler
11347,2009,16.770456,-3.005588,Tyler
11347,2012,19.461389,0.858889,Tyler
11348,2012,11,30,Tyler
11349,2008,39.483333,76.65,Tyler
11350,2005,23.92471,89.02958,Tyler
11447,1991,9.30944,42.12583,Tyler
11475,1991,23.5,95.5,Tyler
11475,1995,23.75,93.733333,Tyler
11475,2000,23.5,95.5,Tyler
11475,2005,23.5,95.5,Tyler
11487,2013,5.154722,119.213888,Tyler
13042,2012,36.201241,37.161173,Tyler
13219,2014,50.45,30.52333,Tyler
13243,2022,46.253349,33.293286,Tyler
13246,2014,48.817931,37.551012,Tyler
13247,2014,48.757115,39.148348,Tyler
13306,2014,48,37.805278,Tyler
13324,2021,39.61277,69.34112,Tyler
13588,2015,43.4846,43.6071,Tyler
13604,2013,36.201241,37.161173,Tyler
13611,2015,15.168751,-7.284659,Tyler
13637,2015,32.860043,67.181449,Tyler
13638,2015,11,14.5,Tyler
13638,2019,12.87784,14.297286,Tyler
13638,2021,12.482846,14.190468,Tyler
13638,2023,11.18417,13.91423,Tyler
13639,2015,13.31536,12.611345,Tyler
13640,2015,13.53333,14.65,Tyler
13640,2017,13.377031,14.530923,Tyler
13641,2015,11.591862,13.506214,Tyler
13645,2015,15.354722,44.206667,Tyler
13645,2017,14.415097,44.837089,Tyler
13645,2020,14.642328,44.838166,Tyler
13646,2015,-2.033333,40.783333,Tyler
13648,2015,31.216297,34.110742,Tyler
13653,2015,24.481739,94.305565,Tyler
13674,2016,23.723056,90.408611,Tyler
13675,2014,34.179444,36.420833,Tyler
13675,2017,34.274353,36.502374,Tyler
13692,2001,31.611795,65.705795,Tyler
13694,2015,31.208924,16.588661,Tyler
13721,2015,36.7565,3.43333,Tyler
13809,2016,37.052152,41.231422,Tyler
13809,2018,37.052152,41.231422,Tyler
13809,2023,35.02089,40.453455,Tyler
13840,2019,14.51248,-0.99094,Tyler
13886,2016,31.184722,35.704722,Tyler
13902,2015,36.881667,37.562778,Tyler
13936,2016,30.183333,67,Tyler
13936,2021,34.016667,71.583333,Tyler
14074,2018,8.540153,47.789644,Tyler
14113,2017,15.5502,2.7787,Tyler
14129,2017,5.75132,9.3137,Tyler
14197,2019,10.564926,50.421509,Tyler
14268,2017,27.44194,57.19198,Tyler
14275,2016,6.499753,122.10943,Tyler
14333,2016,33.138889,11.216667,Tyler
14609,2018,35.106111,36.790833,Tyler
