conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version,onsetprimregion,onsetlocation,locprec,latitude,longitude,sources,coder
11342,India,Government of India,141,,GNLA,1163,,1,Garoland,2012,1,0,3,5/29/97,1,11/15/12,1,1,12/21/12,,750,,,,750,3,24.1,,,,25.411672,90.045303,,Tyler
11342,India,Government of India,141,,GNLA,1163,,1,Garoland,2014,1,0,3,5/29/97,1,7/1/14,1,1,11/27/14,,750,,,,750,3,24.1,,,,25.649879,90.260223,,Tyler
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1,Suez/Sinai,1967,2,1,2,6/5/67,1,6/5/67,1,1,6/10/67,,651,,666,,"651, 666",2,24.1,Suez/Sinai,Suez/Sinai,,30.811995,33.5088,,Tyler
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1,Suez/Sinai,1969,1,1,2,6/5/67,1,3/6/69,1,0,,,651,,666,,"651, 666",2,24.1,Suez/Sinai,Suez/Sinai,,30.811995,33.5088,,Tyler
11343,"Egypt, Israel",Government of Egypt,117,,Government of Israel,121,,1,Suez/Sinai,1973,2,1,2,6/5/67,1,10/6/73,1,1,10/24/73,,651,,666,,"651, 666",2,24.1,Suez/Sinai,Suez/Sinai,,30.811995,33.5088,,Tyler
11344,Sudan,Government of Sudan,112,,Republic of South Sudan,1129,,1,Abyei,2011,1,0,3,5/1/11,1,5/19/11,1,1,6/15/11,,625,,,,625,4,24.1,,,,7.3333,31.416,,Tyler
11345,South Sudan,Government of South Sudan,113,,"SSDM/A, SSLM/A","1108, 1124",,2,,2011,1,0,3,8/20/11,2,8/20/11,2,0,,,626,,,,626,4,24.1,,,,10.57906,32.1574,,Tyler
11346,Libya,Government of Libya,111,Government of Zimbabwe (Rhodesia),"Forces of Muammar Gaddafi, NTC","1126, 1127",,2,,2011,2,1,4,2/28/11,1,3/4/11,1,1,11/23/11,,620,552,,,620,4,24.1,,,,31.208924,16.588661,,Tyler
11346,Libya,Government of Libya,111,,ASL,7046,,2,,2013,1,1,3,2/28/11,1,11/29/13,1,0,,,620,,,,620,4,24.1,,,,32.117664,20.129275,,Tyler
11346,Libya,Government of Libya,111,,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL","5802, 6814, 6893",,2,,2017,1,1,3,2/28/11,1,5/18/17,1,1,11/12/17,,620,,,,620,4,24.1,,,,27.550088,14.26904,,Tyler
11346,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,"Government of Sudan, Government of United Arab Emirates",2,,2019,2,1,4,2/28/11,1,2/21/19,2,0,,,620,,,"625, 696",620,4,24.1,,,,25.904444,13.897222,,Tyler
