conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version,onset_lat,onset_lon,onset_loc,onset_loc_prec,onset_loc_sovereignty,common_name,start_date2_changed,start_prec2_changed,coder,coder_remarks,year_diff,onset2,onset3,onset4,onset5,onset6,onset7,onset8,onset9,primary_onset,,
200,Bolivia,Government of Bolivia,23,,Popular Revolutionary Movement,719,,2,,1946,2,1,3,1946-07-18,1,1946-07-21,2,1,1946-07-21,,145,,,,145,5,25.1,-16.496,-68.133,"(-16.4956, -68.1333)",1,Bolivia,Bolivian Conflict (1946 La Paz Riots),0,0,Anna Stravato,"Start date July 19, not July 21",-10,1,1,1,1,1,1,1,1,1,,
200,Bolivia,Government of Bolivia,23,,MNR,720,,2,,1949,1,1,3,1946-07-18,1,1949-09-15,3,1,1949-09-15,,145,,,,145,5,25.1,-17.798,-63.193,"(-17.7981, -63.1925)",2.1,Bolivia,Bolivian Conflict (Civil War of 1949),0,0,Anna Stravato,"Start date Sep 14, not Sep 15",3,1,1,0,0,0,0,0,0,0,,
200,Bolivia,Government of Bolivia,23,,MNR,720,,2,,1952,1,1,3,1946-07-18,1,1952-04-09,1,1,1952-04-12,,145,,,,145,5,25.1,-16.489,-68.119,"(-16.4894, -68.1191)",2.1,Bolivia,Bolivian Conflict (Bolivian National Revolution),0,0,Anna Stravato,,3,1,1,0,0,0,0,0,0,0,,
200,Bolivia,Government of Bolivia,23,,ELN,721,,2,,1967,1,1,3,1946-07-18,1,1967-03-31,3,1,1967-10-16,,145,,,,145,5,25.1,-18.942,-63.506,"(-18.9417, -63.5061)",2.2,Bolivia,Bolivian Conflict (Che Guevara's Bolivian Campaign),0,0,Anna Stravato,"Difficult to find reports of specific casualties, but sources suggest that the 25 casualty threshold would have been reached in this area. See working doc coder_remarks for more details.",15,1,1,1,1,1,1,1,1,0,,
201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1946,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,25.1,13.330,104.100,"(13.3300, 104.1000)",4,Cambodia,Siem Reap Raid,0,0,Anna Stravato,"Difficult to find reports of specific casualties, but sources suggest that the 25 casualty threshold would have been reached in this area. See working doc coder_remarks for more details. Unclear start date.",-10,1,1,1,1,1,1,1,1,1,,
202,China,Government of China,135,,PLA,161,,2,,1946,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
203,Greece,Government of Greece,52,,DSE,162,,2,,1946,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
204,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1946,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
205,Iran,Government of Iran,114,,KDPI,164,Government of Russia (Soviet Union),1,Kurdistan,1946,1,0,4,1946-05-31,3,1946-05-31,3,1,1946-12-16,,630,,,365,630,2,25.1,,,,,,,0,0,Anna Stravato,,-10,1,1,1,1,1,1,1,1,1,,
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1966,1,1,3,1946-05-31,3,1966-12-31,5,0,,,630,,,,630,2,25.1,36.804,45.449,"(36.8042, 45.4488)",4,Iran,Iran/Kurds Conflict (Lead up to 1967 Kurdish Revolt),0,0,Anna Stravato,"Difficult to find reports of specific casualties, but sources suggest that the 25 casualty threshold would have been reached in this area. See working doc coder_remarks for more details. Unclear start date.",20,1,1,1,1,1,1,1,1,0,,
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1979,2,1,3,1946-05-31,3,1979-12-31,5,0,,,630,,,,630,2,25.1,35.312,46.996,"(35.3117, 46.9964)",2.1,Iran,Iran/Kurds Conflict (Kurdish Rebellion of 1979),0,0,Anna Stravato,"Difficult to find reports of specific casualties, but sources suggest that the 25 casualty threshold would have been reached in this area. See working doc coder_remarks for more details. Start date March 19.",11,1,1,1,1,1,1,1,1,0,,
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1990,1,1,3,1946-05-31,3,1990-07-10,2,1,1990-08-17,,630,,,,630,2,25.1,36.763,45.722,"(36.7631, 45.722)",2,Iran,Iran/Kurds Conflict (KDPI Insurgency),0,0,Anna Stravato,,2,1,0,0,0,0,0,0,0,0,,
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1993,1,1,3,1946-05-31,3,1993-09-12,2,1,1993-11-11,,630,,,,630,2,25.1,38.624,44.322,"(38.6242, 44.3216)",5,Iran,Iran/Kurds Conflict (KDPI Insurgency),0,0,Anna Stravato,,3,1,1,0,0,0,0,0,0,0,,
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1996,1,1,3,1946-05-31,3,1996-07-28,2,1,1996-07-28,,630,,,,630,2,25.1,35.737,46.275,"(35.7367, 46.2748)",5,Iran,Iran/Kurds Conflict (KDPI Insurgency),0,0,Anna Stravato,,3,1,1,0,0,0,0,0,0,0,,
205,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2016,1,1,3,1946-05-31,3,2016-09-07,2,1,2016-12-20,,630,,,,630,2,25.1,36.083,44.629,"(36.0829, 44.6287)",1,Iraq,Iran/Kurds Conflict (Western Iran Clashes),0,0,Anna Stravato,GED gives different onset country than UcdpPrio. Start date given as 12/20/2016 in GED data set but as 9/07/2016 in UcdpPrio,20,1,1,1,1,1,1,1,1,0,,
