year,dmi_noenso
1950,-0.371105555459393
1951,-0.191515113393841
1952,-0.49653208521377795
1953,-0.2569697536468444
1954,-0.746350911872842
1955,-0.2022717781884755
1956,-1.0270532588156434
1957,-1.7407898382333074
1958,-2.2621412274322674
1959,-1.3975540380034448
1960,-1.4862952668928266
1961,1.9176627642643231
1962,0.14658491962300976
1963,0.7598735219803199
1964,-1.0934282000395585
1965,-0.8855714514017426
1966,0.4600900896884681
1967,1.393665273841451
1968,-1.6040949823643318
1969,-0.4711535223862356
1970,-0.13368512571294602
1971,-0.3446761735971113
1972,0.31283288938703097
1973,0.38576838191870627
1974,-1.2624518050843505
1975,-0.7941839552640403
1976,-0.9012683951556342
1977,0.06486012131236404
1978,-0.7162627636562487
1979,-0.7003736494315554
1980,-1.1504634750882494
1981,-1.296412877516277
1982,-0.15384837849908267
1983,0.5063495343169399
1984,-0.4859659469693755
1985,0.2053164129418814
1986,-0.6266247976142401
1987,0.5171290491073907
1988,0.5998989842010108
1989,-0.42418008066680885
1990,-0.1791933995074566
1991,-0.26961984332888744
1992,-1.1028278830215246
1993,-0.03277081622470364
1994,1.3707840527459672
1995,0.19233160666875188
1996,-1.714946969479014
1997,1.1298706019193183
1998,-0.48884950070131766
1999,1.0737880681823626
2000,0.27819921957606153
2001,-0.11155739447196748
2002,0.46385747136580946
2003,-0.1833320754584677
2004,-0.04557382120117105
2005,-0.011564542918095853
2006,1.258409418531237
2007,1.950631682982727
2008,0.6177764268207193
2009,-0.6051245758062073
2010,0.4290135415439054
2011,1.7847830334124408
2012,1.0017665501873132
2013,0.26314778993951815
2014,-0.015425444498852605
2015,-0.15406135584220795
2016,-0.21797733519416845
2017,1.5284204527090284
2018,1.5391704244637803
2019,2.950953590143286
2020,0.963238558171484
2021,0.9829191663748336
2022,-0.38446638206367717
2023,1.6914221489967451
